,Name_x,Difficulty_x,Name_y,Difficulty_y,Weight
0,Gpop_sPackofOriginalPadSims-Kommisar-Atomic_Jill,6,CinderellaGirlsStarlightDancefloor-Chieri_Ogata-Kazeiro_Melody,5,1
1,CinderellaGirlsStarlightDancefloor-Chieri_Ogata-Kazeiro_Melody,5,Gpop_sPackofOriginalPadSims-Kommisar-Atomic_Jill,6,0
2,Gpop_sPackofOriginalPadSimsIII-Giga_feat_Reol-Give_me_a_break_Stop_now,4,Gpop_sPackofOriginalPadSimsII-Team_Grimoire-C18H27NO3,3,1
3,Gpop_sPackofOriginalPadSimsII-Team_Grimoire-C18H27NO3,3,Gpop_sPackofOriginalPadSimsIII-Giga_feat_Reol-Give_me_a_break_Stop_now,4,0
4,KantaiCollectionPadColle-IOSYS-Nanodesu,4,TouhouGouyoukyousoku_TouhouPadPackRevival-IOSYS-Border_of_extacy,3,1
5,TouhouGouyoukyousoku_TouhouPadPackRevival-IOSYS-Border_of_extacy,3,KantaiCollectionPadColle-IOSYS-Nanodesu,4,0
6,Gpop_sPackofOriginalPadSimsIII-Coconatsu_Produced_by_lapix-Finally_Dive,5,CinderellaGirlsStarlightDancefloor-LiPPS-Tulip,4,1
7,CinderellaGirlsStarlightDancefloor-LiPPS-Tulip,4,Gpop_sPackofOriginalPadSimsIII-Coconatsu_Produced_by_lapix-Finally_Dive,5,0
8,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-Earthquake_Super_Shock,5,CinderellaGirlsStarlightRemix-MasqueRade_Arr_Hajime_Mobiki-Love_Destiny,4,1
9,CinderellaGirlsStarlightRemix-MasqueRade_Arr_Hajime_Mobiki-Love_Destiny,4,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-Earthquake_Super_Shock,5,0
10,Gpop_sPackofOriginalPadSims-STi_feat_Soojung-Ghost,1,Gpop_sPackofOriginalPadSims-Saitama_Saisyu_Heiki-Intersect_Thunderbolt,2,1
11,Gpop_sPackofOriginalPadSims-Saitama_Saisyu_Heiki-Intersect_Thunderbolt,2,Gpop_sPackofOriginalPadSims-STi_feat_Soojung-Ghost,1,0
12,VocaloidProjectPadPack5th-cosMobousouP_feat_Circus_P__Hatsune_Miku-The_Disappearance_of_Hatsune_Miku,2,Gpop_sPackofOriginalPadSimsIII-XeoN-Retention,1,1
13,Gpop_sPackofOriginalPadSimsIII-XeoN-Retention,1,VocaloidProjectPadPack5th-cosMobousouP_feat_Circus_P__Hatsune_Miku-The_Disappearance_of_Hatsune_Miku,2,0
14,TouhouOumukan_SakuraDreamSensation-Halozy-Earth_Shattering_Space_Shuttle_Koishis_Earth_Shattering_Song,3,Gpop_sPackofOriginalPadSimsII-REDALiCE-The_Result_of_Using_Squid_Sisters_for_DJing_lol,2,1
15,Gpop_sPackofOriginalPadSimsII-REDALiCE-The_Result_of_Using_Squid_Sisters_for_DJing_lol,2,TouhouOumukan_SakuraDreamSensation-Halozy-Earth_Shattering_Space_Shuttle_Koishis_Earth_Shattering_Song,3,0
16,VocaloidProjectPadPack5th-Fuwari_P_feat_GUMI-Today_Will_Be_Cheerful,3,TouhouOumukan_SakuraDreamSensation-Alstroemeria_Records-Struggle,2,1
17,TouhouOumukan_SakuraDreamSensation-Alstroemeria_Records-Struggle,2,VocaloidProjectPadPack5th-Fuwari_P_feat_GUMI-Today_Will_Be_Cheerful,3,0
511,Gpop_sPackofOriginalPadSimsIII-Kaneko_Chiharu-Lachryma_Re_QueenM,3,VocaloidProjectPadPack5th-kz_feat_Hatsune_Miku-DECORATOR,2,0
512,VocaloidProjectPadPack5th-kz_feat_Hatsune_Miku-DECORATOR,2,Gpop_sPackofOriginalPadSimsIII-Kaneko_Chiharu-Lachryma_Re_QueenM,3,1
521,Gpop_sPackofOriginalPadSimsII-Chroma-Sayonara_Planet_Wars,9,VocaloidProjectPadPack5th-23exe_feat_Hatsune_Miku-YY,10,0
522,VocaloidProjectPadPack5th-23exe_feat_Hatsune_Miku-YY,10,Gpop_sPackofOriginalPadSimsII-Chroma-Sayonara_Planet_Wars,9,1
531,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-Dream_Refrain,7,TouhouKousaikai_ScarletFestivalGathering_videoless_-Arch-Silver_Impact,8,1
532,TouhouKousaikai_ScarletFestivalGathering_videoless_-Arch-Silver_Impact,8,TouhouKousaikai_ScarletFestivalGathering_videoless_-SOUND_HOLIC-Dream_Refrain,7,0
551,Gpop_sPackofOriginalPadSimsII-Ryuwitty_feat_Kuroa-The_world_of_sound,2,VocaloidProjectPadPack5th-ryo_feat_Hatsune_Miku-Love_is_War,1,1
552,VocaloidProjectPadPack5th-ryo_feat_Hatsune_Miku-Love_is_War,1,Gpop_sPackofOriginalPadSimsII-Ryuwitty_feat_Kuroa-The_world_of_sound,2,0
561,CinderellaGirlsStarlightRemix-Mio_Honda_Arr_mito_clammbon-Mitsuboshi,3,TouhouKousaikai_ScarletFestivalGathering_videoless_-ShibayanRecords-Fall_in_the_Dark,4,0
562,TouhouKousaikai_ScarletFestivalGathering_videoless_-ShibayanRecords-Fall_in_the_Dark,4,CinderellaGirlsStarlightRemix-Mio_Honda_Arr_mito_clammbon-Mitsuboshi,3,1
591,Gpop_sPackofOriginalPadSimsII-Rahizel-Bad_Boy,5,TouhouOumukan_SakuraDreamSensation-Drumatic_Sequencer-Day_Breaks,4,0
592,TouhouOumukan_SakuraDreamSensation-Drumatic_Sequencer-Day_Breaks,4,Gpop_sPackofOriginalPadSimsII-Rahizel-Bad_Boy,5,1
601,Gpop_sPackofOriginalPadSimsII-aoi-Ujis_supremacy_of_Happy_end,7,TouhouOumukan_SakuraDreamSensation-tpazolite-KAMSABI,8,0
602,TouhouOumukan_SakuraDreamSensation-tpazolite-KAMSABI,8,Gpop_sPackofOriginalPadSimsII-aoi-Ujis_supremacy_of_Happy_end,7,1
