,Name_x,Difficulty_x,Name_y,Difficulty_y,Weight
1041,Gull_sArrows1-Flashburn-Enigma,6,Gull_sArrows1-Sanxion7-Trance_Theory,7,1
1042,Gull_sArrows1-Sanxion7-Trance_Theory,7,Gull_sArrows1-Flashburn-Enigma,6,0
1071,Gull_sArrows5-dB_Soundworks-Dead_Ringer,7,Gull_sArrows6-Haze__Allison_McLauchlan-Waiting,8,0
1072,Gull_sArrows6-Haze__Allison_McLauchlan-Waiting,8,Gull_sArrows5-dB_Soundworks-Dead_Ringer,7,1
1081,Gull_sArrows1-_feat_Mind_Reflection-Remember_December,1,Gull_sArrows6-Gloudas-Mysterious_Challenger_Drops_The_Beat,2,0.25
1082,Gull_sArrows6-Gloudas-Mysterious_Challenger_Drops_The_Beat,2,Gull_sArrows1-_feat_Mind_Reflection-Remember_December,1,0.75
1091,Gull_sArrows5-Mayhem-Its_Murder,7,Gull_sArrows7-dB_Soundworks-Zone_5_2,6,0
1092,Gull_sArrows7-dB_Soundworks-Zone_5_2,6,Gull_sArrows5-Mayhem-Its_Murder,7,1
1181,Gull_sArrows4-RusseTunes-Skuta,7,Gull_sArrows6-REDALiCE-Kick_It,7,0
1182,Gull_sArrows6-REDALiCE-Kick_It,7,Gull_sArrows4-RusseTunes-Skuta,7,1
1191,Gull_sArrows1-Flashburn-Enigma,1,Gull_sArrows7-REDALiCE_feat_Ayumi_Nomiya-Colors,2,0
1192,Gull_sArrows7-REDALiCE_feat_Ayumi_Nomiya-Colors,2,Gull_sArrows1-Flashburn-Enigma,1,1
1231,Gull_sArrows1-Sanxion7-Fangs,5,Gull_sArrows6-NaNashi-Nyanyanyanyanyanyanya,4,0
1232,Gull_sArrows6-NaNashi-Nyanyanyanyanyanyanya,4,Gull_sArrows1-Sanxion7-Fangs,5,1
1401,Gull_sArrows5-dB_Soundworks-Dead_Ringer,7,Gull_sArrows6-Katdrop-Neon_Cat,7,1
1402,Gull_sArrows6-Katdrop-Neon_Cat,7,Gull_sArrows5-dB_Soundworks-Dead_Ringer,7,0
1431,Gull_sArrows3-ParagonX9-Red_13,6,Gull_sArrows3-Chipzel-Sonnet,7,1
1432,Gull_sArrows3-Chipzel-Sonnet,7,Gull_sArrows3-ParagonX9-Red_13,6,0
1451,Gull_sArrows5-Dubscribe-Hyperion,5,Gull_sArrows7-REDALiCE_feat_Ayumi_Nomiya-Little_Star,5,1
1452,Gull_sArrows7-REDALiCE_feat_Ayumi_Nomiya-Little_Star,5,Gull_sArrows5-Dubscribe-Hyperion,5,0
