,Name_x,Difficulty_x,Name_y,Difficulty_y,Weight
0,Galaxy-Coldplay-Adventure_Of_A_Lifetime,4,Galaxy-Bomfunk_MCs-Freestyler,5,0.5
1,Galaxy-Bomfunk_MCs-Freestyler,5,Galaxy-Coldplay-Adventure_Of_A_Lifetime,4,0.5
2,Galaxy-Fall_Out_Boy-Immortals,4,Galaxy-Mumford__Sons-The_Wolf,5,0.5
3,Galaxy-Mumford__Sons-The_Wolf,5,Galaxy-Fall_Out_Boy-Immortals,4,0.5
4,Galaxy-Foals-What_Went_Down,4,Galaxy-Ellie_Goulding-Army,3,1
5,Galaxy-Ellie_Goulding-Army,3,Galaxy-Foals-What_Went_Down,4,0
6,Galaxy-Rihanna-Diamonds,5,Galaxy-Little_Mix-Black_Magic,6,1
7,Galaxy-Little_Mix-Black_Magic,6,Galaxy-Rihanna-Diamonds,5,0
8,Galaxy-Sia-Elastic_Heart,7,Galaxy-The_Protomen-Light_Up_The_Night,8,0.75
9,Galaxy-The_Protomen-Light_Up_The_Night,8,Galaxy-Sia-Elastic_Heart,7,0.25
10,Galaxy-Bruno_Mars-Treasure,8,Galaxy-CHVRCHES-Leave_A_Trace,7,1
11,Galaxy-CHVRCHES-Leave_A_Trace,7,Galaxy-Bruno_Mars-Treasure,8,0
12,Galaxy-DeadballP-Xepher,2,Galaxy-The_Weeknd_feat_Daft_Punk-I_Feel_It_Coming,1,1
13,Galaxy-The_Weeknd_feat_Daft_Punk-I_Feel_It_Coming,1,Galaxy-DeadballP-Xepher,2,0
14,Galaxy-Silento-Watch_Me,2,Galaxy-Justin_Timberlake-Cant_Stop_The_Feeling,3,0.75
15,Galaxy-Justin_Timberlake-Cant_Stop_The_Feeling,3,Galaxy-Silento-Watch_Me,2,0.25
2111,Galaxy-Seven_Lions__Echoes-Cold_Skin,6,Galaxy-Carly_Rae_Jepsen-Run_Away_With_Me,7,0
2112,Galaxy-Carly_Rae_Jepsen-Run_Away_With_Me,7,Galaxy-Seven_Lions__Echoes-Cold_Skin,6,1
2181,Galaxy-Graves__Maazel-Lost_Boys,7,Galaxy-Bruno_Mars-Treasure,8,0
2182,Galaxy-Bruno_Mars-Treasure,8,Galaxy-Graves__Maazel-Lost_Boys,7,1
2211,Galaxy-Taylor_Swift__Brendon_Urie-ME,5,Galaxy-Jason_Derulo-Want_To_Want_Me,6,0
2212,Galaxy-Jason_Derulo-Want_To_Want_Me,6,Galaxy-Taylor_Swift__Brendon_Urie-ME,5,1
2221,Galaxy-Seven_Lions__Echoes-Cold_Skin,1,Galaxy-Jason_Derulo-Want_To_Want_Me,2,1
2222,Galaxy-Jason_Derulo-Want_To_Want_Me,2,Galaxy-Seven_Lions__Echoes-Cold_Skin,1,0
2251,Galaxy-Kiiara-Gold,1,Galaxy-Silento-Watch_Me,0,0.25
2252,Galaxy-Silento-Watch_Me,0,Galaxy-Kiiara-Gold,1,0.75
2311,Galaxy-Demi_Lovato-Cool_For_the_Summer,6,Galaxy-Katy_Perry-Roar,5,1
2312,Galaxy-Katy_Perry-Roar,5,Galaxy-Demi_Lovato-Cool_For_the_Summer,6,0
2361,Galaxy-Lunchmoney_Lewis-Bills,4,Galaxy-Avicii-Wake_Me_Up,5,0
2362,Galaxy-Avicii-Wake_Me_Up,5,Galaxy-Lunchmoney_Lewis-Bills,4,1
2381,Galaxy-Seven_Lions__Echoes-Cold_Skin,1,Galaxy-Avicii-Wake_Me_Up,2,0.5
2382,Galaxy-Avicii-Wake_Me_Up,2,Galaxy-Seven_Lions__Echoes-Cold_Skin,1,0.5
2391,Galaxy-Shawn_Mendes-Stitches,3,Galaxy-Ed_Sheeran-Thinking_Out_Loud,2,1
2392,Galaxy-Ed_Sheeran-Thinking_Out_Loud,2,Galaxy-Shawn_Mendes-Stitches,3,0
2411,Galaxy-Coldplay-UpUp,7,Galaxy-CHVRCHES-What_Do_You_Mean,8,0
2411,Galaxy-CHVRCHES-What_Do_You_Mean,8,Galaxy-Coldplay-UpUp,7,1
2431,Galaxy-Kelly_Clarkson-Heartbeat_Song,7,Galaxy-Mark_Ronson_feat_Bruno_Mars-Uptown_Funk,6,0
2432,Galaxy-Mark_Ronson_feat_Bruno_Mars-Uptown_Funk,6,Galaxy-Kelly_Clarkson-Heartbeat_Song,7,1
2491,Galaxy-The_Struts-Could_Have_Been_Me,0,Galaxy-Korn-Hater,1,1
2492,Galaxy-Korn-Hater,1,Galaxy-The_Struts-Could_Have_Been_Me,0,0
