,Name_x,Difficulty_x,Name_y,Difficulty_y,Weight
11,Fraxtil_sBeastBeats-KOAN_Sound-The_Edge,7,TsunamixIII-Adraen-Killin_Your_Dudes,6,1
12,TsunamixIII-Adraen-Killin_Your_Dudes,6,Fraxtil_sBeastBeats-KOAN_Sound-The_Edge,7,0
21,Fraxtil_sArrowArrangements-古代祐三-Love_to_Rise_in_the_Summer_Morning,5,TsunamixIII-Rustie-Ultra_Thizz,6,0.5
22,TsunamixIII-Rustie-Ultra_Thizz,6,Fraxtil_sArrowArrangements-古代祐三-Love_to_Rise_in_the_Summer_Morning,5,0.5
31,Fraxtil_sBeastBeats-獣音ロウRevo-HeartBeats,4,TsunamixIII-tpazolite-VOX_Diamond,5,0.5
32,TsunamixIII-tpazolite-VOX_Diamond,5,Fraxtil_sBeastBeats-獣音ロウRevo-HeartBeats,4,0.5
41,Fraxtil_sArrowArrangements-Spankbass-Stamina,4,Fraxtil_sBeastBeats-KOAN_Sound-The_Edge,5,0
42,Fraxtil_sBeastBeats-KOAN_Sound-The_Edge,5,Fraxtil_sArrowArrangements-Spankbass-Stamina,4,1
51,Fraxtil_sBeastBeats-KOAN_Sound-The_Edge,3,TsunamixIII-Petrified_Productions_feat_Bit_Shifter-Strange_Comfort,2,1
52,TsunamixIII-Petrified_Productions_feat_Bit_Shifter-Strange_Comfort,2,Fraxtil_sBeastBeats-KOAN_Sound-The_Edge,3,0
61,Fraxtil_sArrowArrangements-Kill_The_Noise-Deal_With_It,3,Fraxtil_sBeastBeats-void-Caelumize,4,0.5
62,Fraxtil_sBeastBeats-void-Caelumize,4,Fraxtil_sArrowArrangements-Kill_The_Noise-Deal_With_It,3,0.5
71,Fraxtil_sBeastBeats-zircon-Neurobazaar,4,TsunamixIII-BT-1618,3,0
72,TsunamixIII-BT-1618,3,Fraxtil_sBeastBeats-zircon-Neurobazaar,4,1
81,Fraxtil_sArrowArrangements-Human_Error-Human_Error,5,TsunamixIII-nitro-make_haste,6,0
82,TsunamixIII-nitro-make_haste,6,Fraxtil_sArrowArrangements-Human_Error-Human_Error,5,1
111,TsunamixIII-Ladyscraper-Chunderchunkmaster,6,TsunamixIII-Klippa-Mixed_Berry,5,0
112,TsunamixIII-Klippa-Mixed_Berry,5,TsunamixIII-Ladyscraper-Chunderchunkmaster,6,1
121,Fraxtil_sBeastBeats-Anamanaguchi-Mess,6,TsunamixIII-Gammer_vs_Diplo-Jump,7,0
122,TsunamixIII-Gammer_vs_Diplo-Jump,7,Fraxtil_sBeastBeats-Anamanaguchi-Mess,6,1
181,Fraxtil_sBeastBeats-Ym1024_feat_lamie-Future_MUSiC,7,TsunamixIII-Adraen-Killin_Your_Dudes,6,1
182,TsunamixIII-Adraen-Killin_Your_Dudes,6,Fraxtil_sBeastBeats-Ym1024_feat_lamie-Future_MUSiC,7,0
211,Fraxtil_sArrowArrangements-Celldweller-Goodbye,5,TsunamixIII-nitro-make_haste,6,0
212,TsunamixIII-nitro-make_haste,6,Fraxtil_sArrowArrangements-Celldweller-Goodbye,5,1
311,TsunamixIII-nitro-make_haste,3,TsunamixIII-Klippa-Mixed_Berry,2,0
312,TsunamixIII-Klippa-Mixed_Berry,2,TsunamixIII-nitro-make_haste,3,1
341,Fraxtil_sArrowArrangements-Royalston-Dead_Hollywood,5,TsunamixIII-Rustie-Ultra_Thizz,6,1
342,TsunamixIII-Rustie-Ultra_Thizz,6,Fraxtil_sArrowArrangements-Royalston-Dead_Hollywood,5,0
401,Fraxtil_sArrowArrangements-Spankbass-Stamina,2,TsunamixIII-Petriform-Worldview,1,0
402,TsunamixIII-Petriform-Worldview,1,Fraxtil_sArrowArrangements-Spankbass-Stamina,2,1
431,Fraxtil_sArrowArrangements-Sota_Fujimori-Need_Your_Love,1,TsunamixIII-Sub_Focus_feat_Kenzie_May-Falling_Down,2,0
432,TsunamixIII-Sub_Focus_feat_Kenzie_May-Falling_Down,2,Fraxtil_sArrowArrangements-Sota_Fujimori-Need_Your_Love,1,1
501,Fraxtil_sArrowArrangements-Kidz_Bop_Kids-Gangnam_Style,6,Fraxtil_sArrowArrangements-古代祐三-Love_to_Rise_in_the_Summer_Morning,5,0.5
502,Fraxtil_sArrowArrangements-古代祐三-Love_to_Rise_in_the_Summer_Morning,5,Fraxtil_sArrowArrangements-Kidz_Bop_Kids-Gangnam_Style,6,0.5
