,Name_x,Difficulty_x,Name_y,Difficulty_y,Weight
0,InTheGrooveRebirth-Digital_Explosion-Les_Vacances_Du_Compositeur,3,InTheGroove2-Yanis_Kamarinos-Temple_of_Boom,2,1
1,InTheGroove2-Yanis_Kamarinos-Temple_of_Boom,2,InTheGrooveRebirth-Digital_Explosion-Les_Vacances_Du_Compositeur,3,0
2,InTheGroove-Filo_Bedo-Drifting_Away,3,InTheGroove3-Hit_N_Hide-Partyman,4,1
3,InTheGroove3-Hit_N_Hide-Partyman,4,InTheGroove-Filo_Bedo-Drifting_Away,3,0
4,InTheGroove-Missing_Heart-Fly_Away,6,InTheGroove-Filo_Bedo-Drifting_Away,7,1
5,InTheGroove-Filo_Bedo-Drifting_Away,7,InTheGroove-Missing_Heart-Fly_Away,6,0
6,InTheGroove-Missing_Heart-Queen_of_Light,6,InTheGroove2-Nina-Pick_Me_Up__Tango,7,0.5
7,InTheGroove2-Nina-Pick_Me_Up__Tango,7,InTheGroove-Missing_Heart-Queen_of_Light,6,0.5
8,InTheGroove-DJ_Zombie-While_Tha_Rekkid_Spinz,6,InTheGroove3-E_Rotic-Dynamite,7,1
9,InTheGroove3-E_Rotic-Dynamite,7,InTheGroove-DJ_Zombie-While_Tha_Rekkid_Spinz,6,0
10,InTheGroove2-Matiloe-We_Know_What_To_Do,6,InTheGroove3-Nightfly-My_Love,7,1
11,InTheGroove3-Nightfly-My_Love,7,InTheGroove2-Matiloe-We_Know_What_To_Do,6,0
12,InTheGroove-Kid_Whatever-I_Think_I_Like_That_Sound,7,InTheGroove2-Ni_Ni-Little_Kitty_Mine,8,1
13,InTheGroove2-Ni_Ni-Little_Kitty_Mine,8,InTheGroove-Kid_Whatever-I_Think_I_Like_That_Sound,7,0
14,InTheGroove-Crispy-The_Game,7,InTheGroove3-KaW_vs_i09-Dawn,8,1
15,InTheGroove3-KaW_vs_i09-Dawn,8,InTheGroove-Crispy-The_Game,7,0
16,InTheGroove2-Benga_Boys-Hillbilly_Hardcore,7,InTheGroove3-Lagoona-Land_of_Imagination,8,0.5
17,InTheGroove3-Lagoona-Land_of_Imagination,8,InTheGroove2-Benga_Boys-Hillbilly_Hardcore,7,0.5
18,InTheGroove2-Kbit-Robotix,7,InTheGroove3-Vospi-Smells_Like_a_Chocolate,8,0.5
19,InTheGroove3-Vospi-Smells_Like_a_Chocolate,8,InTheGroove2-Kbit-Robotix,7,0.5
20,InTheGroove2-KaW-Tribal_Style,9,InTheGroove--Utopia,10,1
21,InTheGroove--Utopia,10,InTheGroove2-KaW-Tribal_Style,9,0
22,InTheGroove3-Lagoona-Land_of_Imagination,4,InTheGroove3-Virgill-Its_Over_Now,5,1
23,InTheGroove3-Virgill-Its_Over_Now,5,InTheGroove3-Lagoona-Land_of_Imagination,4,0
24,InTheGroove3-Hit_N_Hide-Sundance,5,InTheGrooveRebirth-Sanxion7-Charly,4,1
25,InTheGrooveRebirth-Sanxion7-Charly,4,InTheGroove3-Hit_N_Hide-Sundance,5,0
26,InTheGroove2-Money_Deluxe-Funk_Factory,6,InTheGroove3-Vospi-Smells_Like_a_Chocolate,5,1
27,InTheGroove3-Vospi-Smells_Like_a_Chocolate,5,InTheGroove2-Money_Deluxe-Funk_Factory,6,0
1551,InTheGroove-ZiGZaG-Pandemonium,10,InTheGroove3-Nightmare-Dream_to_Nightmare,11,1
1552,InTheGroove3-Nightmare-Dream_to_Nightmare,11,InTheGroove-ZiGZaG-Pandemonium,10,0
1681,InTheGroove-Inspector_K-Tension,2,InTheGroove3-Asha-The_Universe_Beside_You,0,0.5
1682,InTheGroove3-Asha-The_Universe_Beside_You,0,InTheGroove-Inspector_K-Tension,2,0.5
1751,InTheGroove-Rochelle-Mouth,3,InTheGroove2-ZiGZaG-Energizer,4,1
1752,InTheGroove2-ZiGZaG-Energizer,4,InTheGroove-Rochelle-Mouth,3,0
1801,InTheGroove2-Inspector_K-Clockwork_Genesis,8,InTheGrooveRebirth-V_Band_Selecta-Synth_Synth_Synth,9,0
1802,InTheGrooveRebirth-V_Band_Selecta-Synth_Synth_Synth,9,InTheGroove2-Inspector_K-Clockwork_Genesis,8,1
1891,InTheGroove2--Renaissance,4,InTheGroove3-Nightmare-Dream_to_Nightmare,5,1
1892,InTheGroove3-Nightmare-Dream_to_Nightmare,5,InTheGroove2--Renaissance,4,0
1901,InTheGroove-Reflection_Theory-Bend_Your_Mind,5,InTheGroove-Crispy-Bubble_Dancer,4,0.5
1902,InTheGroove-Crispy-Bubble_Dancer,4,InTheGroove-Reflection_Theory-Bend_Your_Mind,5,0.5
1991,Nina-Pick_Me_Up__Tango,5,InTheGroove3-Lagoona-Land_of_Imagination,4,1
1992,InTheGroove3-Lagoona-Land_of_Imagination,4,Nina-Pick_Me_Up__Tango,5,0
